City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,cayenne,4.9333,-52.3333,84.24,77,0,4.0,GF,1633210779
150,huarmey,-10.0681,-78.1522,65.93,77,20,7.56,PE,1633210779
151,yar-sale,66.8333,70.8333,28.36,88,76,10.96,RU,1633210779
152,champasak,14.75,106.0,70.92,99,67,1.66,LA,1633210779
153,bushenyi,-0.5853,30.2114,61.57,97,100,6.53,UG,1633210779
154,guerrero negro,27.9769,-114.0611,86.97,39,0,12.1,MX,1633210779
155,castro,-24.7911,-50.0119,60.87,99,100,2.42,BR,1633210780
156,half moon bay,37.4636,-122.4286,94.8,51,1,5.75,US,1633210781
157,luderitz,-26.6481,15.1594,57.63,73,0,23.55,NA,1633210781
158,ilulissat,69.2167,-51.1,28.42,86,75,5.75,GL,1633210781
159,taoudenni,22.6783,-3.9836,95.32,9,11,6.73,ML,1633210781
160,uribia,11.7139,-72.266,89.64,49,74,15.26,CO,1633210781
161,naryan-mar,67.6713,53.087,34.88,83,91,8.1,RU,1633210781
162,beyneu,45.3167,55.2,51.17,29,99,7.43,KZ,1633210781
163,barcelos,41.5388,-8.6151,66.29,97,100,17.13,PT,1633210781
164,klaksvik,62.2266,-6.589,47.32,87,96,18.59,FO,1633210781
165,kaitangata,-46.2817,169.8464,54.93,81,100,5.64,NZ,1633210781
166,jining,35.405,116.5814,71.82,86,100,10.36,CN,1633210782
167,vershino-darasunskiy,52.35,115.5167,25.32,77,95,3.91,RU,1633210782
168,vilhena,-12.7406,-60.1458,75.58,72,62,0.87,BR,1633210782
169,makakilo city,21.3469,-158.0858,86.32,54,75,10.36,US,1633210782
170,kisii,-0.6817,34.7667,60.87,83,100,4.76,KE,1633210782
171,san francisco,37.7749,-122.4194,95.22,38,20,8.05,US,1633210531
172,zalantun,48.0,122.7167,38.59,96,100,15.03,CN,1633210782
173,nikolskoye,59.7035,30.7861,47.8,93,85,5.06,RU,1633210783
174,kahului,20.8947,-156.47,87.06,69,40,18.41,US,1633210783
175,pangnirtung,66.1451,-65.7125,37.74,82,61,2.37,CA,1633210783
176,chaumont,48.1167,5.1333,62.89,50,100,21.32,FR,1633210783
177,saint-philippe,-21.3585,55.7679,72.95,74,41,12.08,RE,1633210783
178,maine-soroa,13.2114,12.0241,88.41,17,3,7.31,NE,1633210783
179,manakara,-22.1333,48.0167,68.05,90,6,8.68,MG,1633210784
180,chokurdakh,70.6333,147.9167,8.24,97,51,4.43,RU,1633210784
181,hamilton,39.1834,-84.5333,79.43,71,1,8.05,US,1633210784
182,tazovskiy,67.4667,78.7,28.17,84,94,15.21,RU,1633210784
183,east london,-33.0153,27.9116,55.08,56,42,21.61,ZA,1633210784
184,antsohihy,-14.8796,47.9875,73.62,70,80,5.37,MG,1633210784
185,verona,45.4167,11.0333,66.85,82,20,6.91,IT,1633210560
186,saint george,37.1041,-113.5841,90.07,14,1,3.0,US,1633210785
187,gornopravdinsk,60.05,69.9,30.78,90,100,7.05,RU,1633210785
188,paamiut,61.994,-49.6678,40.55,71,28,12.55,GL,1633210785
189,cidreira,-30.1811,-50.2056,62.82,75,91,8.99,BR,1633210785
190,kabare,-2.4683,28.8242,61.92,93,100,3.2,CD,1633210785
191,vila franca do campo,37.7167,-25.4333,74.19,86,95,6.96,PT,1633210785
192,severnoye,56.3491,78.3619,32.65,98,100,6.4,RU,1633210786
193,el porvenir,13.7617,-87.3458,88.93,65,67,3.85,HN,1633210786
194,quatre cocos,-20.2078,57.7625,73.09,73,61,11.83,MU,1633210786
195,namibe,-15.1961,12.1522,60.51,85,2,7.38,AO,1633210786
196,sembe,1.6481,14.5806,70.59,97,80,2.3,CG,1633210786
197,longhua,23.6137,114.1919,74.8,97,90,1.41,CN,1633210786
198,shimoda,34.6667,138.95,70.11,80,40,13.78,JP,1633210786
199,ponta delgada,37.7333,-25.6667,74.5,88,75,11.5,PT,1633210787
200,marawi,7.9986,124.2928,64.65,93,69,1.39,PH,1633210787
201,nanortalik,60.1432,-45.2371,41.9,69,0,12.84,GL,1633210787
202,la joya,18.6667,-99.4667,85.51,68,100,2.59,MX,1633210787
203,turayf,31.6725,38.6637,71.85,53,0,6.91,SA,1633210787
204,zonguldak,41.25,31.8333,51.31,89,94,1.32,TR,1633210557
205,port lincoln,-34.7333,135.8667,55.83,82,100,27.09,AU,1633210787
206,mount gambier,-37.8333,140.7667,53.51,94,40,12.66,AU,1633210788
207,ancud,-41.8697,-73.8203,49.53,76,97,11.52,CL,1633210788
208,hilo,19.7297,-155.09,83.8,71,90,8.05,US,1633210788
209,pisco,-13.7,-76.2167,66.25,72,3,21.85,PE,1633210788
210,huainan,32.6264,116.9969,73.33,82,64,8.23,CN,1633210614
211,kilosa,-6.8333,36.9833,70.0,75,36,4.34,TZ,1633210788
212,padang,-0.9492,100.3543,73.45,81,100,2.35,ID,1633210500
213,acaponeta,22.4964,-105.3594,85.75,65,100,5.64,MX,1633210790
214,port elizabeth,-33.918,25.5701,52.11,87,90,16.11,ZA,1633210775
215,isangel,-19.55,169.2667,77.11,88,75,6.91,VU,1633210791
216,samarai,-10.6167,150.6667,80.83,80,72,5.08,PG,1633210791
217,coquimbo,-29.9533,-71.3436,60.53,63,0,16.11,CL,1633210734
218,codrington,-38.2667,141.9667,54.72,89,49,6.98,AU,1633210793
219,luanda,-8.8368,13.2343,73.4,78,75,5.75,AO,1633210502
220,luena,-11.7833,19.9167,63.3,90,92,3.18,AO,1633210794
221,lebu,-37.6167,-73.65,50.13,62,7,17.56,CL,1633210794
222,puerto narino,-3.7703,-70.3831,78.75,72,89,1.45,CO,1633210794
223,samana,19.2056,-69.3369,80.82,89,75,0.0,DO,1633210794
224,araouane,18.9048,-3.5265,96.12,9,98,7.49,ML,1633210794
225,littleton,39.6133,-105.0166,74.93,32,20,3.0,US,1633210794
226,moba,33.2288,105.0179,60.03,98,100,3.69,CN,1633210794
227,westport,41.1415,-73.3579,76.08,56,1,3.0,US,1633210794
228,benguela,-12.5763,13.4055,70.18,82,35,2.84,AO,1633210794
229,harunabad,29.6133,73.1389,87.87,45,12,8.01,PK,1633210794
230,iqaluit,63.7506,-68.5145,35.33,87,1,4.0,CA,1633210794
231,tari,12.4086,4.4914,83.77,56,0,8.63,NG,1633210795
232,kungalv,57.871,11.9805,56.1,98,100,1.01,SE,1633210795
233,mastic beach,40.7668,-72.8521,75.4,73,1,3.0,US,1633210795
234,havoysund,70.9963,24.6622,54.48,89,75,8.59,NO,1633210795
235,peceneaga,45.0167,28.1333,48.67,77,2,4.65,RO,1633210795
236,khorramshahr,30.4397,48.1664,91.36,18,0,11.5,IR,1633210795
